|                | `<program>` | `<top_level_decl_list>` | `<top_level_decl>` | `<data-type>` | `<type_prefix>` | `<fn_decl>` | `<param_list>` | `<param_list1>` | `<param>` | `<const_decl>` | `<var_decl>` | `<type_assign>` | `<expression>` | `<expression1>` | `<term>` | `<term1>` | `<factor>` | `<factor_suffix>` | `<number>` | `<block>` | `<statement_list>` | `<statement_list1>` | `<statement>` | `<assignment>` | `<assignment1>` | `<arg_list>` | `<argument>` | `<argument1>` | `<build_in_fn>` | `<if_statement>` | `<else_statement>` | `<while_statement>` | `<bin_expression>` | `<element_bind>` | `<return_statement>` | `<return_statement1>` |
|----------------|-------------|------------------------|--------------------|---------------|-----------------|-------------|----------------|-----------------|-----------|----------------|--------------|-----------------|----------------|-----------------|----------|-----------|------------|-------------------|------------|-----------|--------------------|---------------------|----------------|----------------|-----------------|--------------|--------------|----------------|----------------|----------------|--------------------|--------------------|----------------|------------------|-----------------|-------------------|---------------------|
| `$`            | 1           | 3                      |                    |               |                 |             |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
| pub            | 1           | 2                      | 4                  |               |                 | 10          |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
| fn             |             |                        |                    |               |                 |             |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
| void           |             |                        |                    | 7             | 9               |             |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
| u8             |             |                        |                    | 7             | 9               |             |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
| i32            |             |                        |                    | 7             | 9               |             |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
| f64            |             |                        |                    | 7             | 9               |             |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
| `[]u8`         |             |                        |                    | 7             | 9               |             |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
| `?`            |             |                        |                    | 7             | 8               |             |                |                 |           |                |              |                 | 20             | 23              | 24       | 27        | 31         | 32                |            |           |                    |                     |                |                | 47              | 49           | 51           | 53             |                |                | 60                 |                    |                |                  | 64              |                   |                     |
| `(`            |             |                        |                    |               |                 |             |                |                 |           |                |              |                 |                | 23              |          | 27        |            | 33                |            |           |                    |                     |                |                |                 | 50           |              | 52             |                |                |                    |                    |                |                  |                 |                   |                     |
| `)`            |             |                        |                    |               |                 |             |                |                 |           |                |              |                 |                |                 |          |           |            | 33                |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
| `,`            |             |                        |                    |               |                 |             | 12             | 14              |           |                |              |                 |                | 23              |          | 27        |            |                   |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  | 65              |                   |                     |
| `:`            |             |                        |                    |               |                 |             |                | 13              |           |                |              |                 |                |                 |          |           |            | 33                |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
